razon_social,establecimiento,id_depto,nombre_rubro
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA MONTOSO,82098,GANADERIA
CUADRADA PRODUCTIONS S.R.L.,BAJADA DEL RADAL,82098,FRUTICULTURA
CUYEN SRL,CUYEN,82098,FRUTICULTURA
CUYEN SRL,CHACRA MICUCCI,82098,FRUTICULTURA
EL REZONGO SH,RAGOBET (ANIMAL),82098,GANADERIA
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,82098,GANADERIA
FUHRMANN S.A,LAS VIOLETAS,82098,GANADERIA
FUHRMANN S.A,SOFIA,82098,GANADERIA
FUHRMANN S.A,LA SUSANA,82098,GANADERIA
GALLIA MARCO,SAN JORGE,82098,GANADERIA
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,82098,GANADERIA
GARCIA SALVADOR O.,SAN GENARO,82098,GANADERIA
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,82098,GANADERIA
GUENGUEL S.R.L.,EL RELINCHO - LINDO PARAJE - EL PICADERO,82098,GANADERIA
HIERBAS PATAGONICAS SRL,LA ASCENSION,82098,FRUTICULTURA
IANNINI S.A.,EL PICHE - SAN AMBROSIO,82098,GANADERIA
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,82098,GANADERIA
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,82098,GANADERIA
LA ALTURA SH,LA ALTURA,82098,GANADERIA
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,82098,GANADERIA
"LOPEZ, CLAUDIA BEATRIZ",CBL,82098,FRUTICULTURA
MAMINA SRL,ESTABLECIMIENTO MAMINA,82098,FRUTICULTURA
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),82098,GANADERIA
MOTTINO CARLOS ANGEL,LOS MANANTIALES (ANIMAL),82098,GANADERIA
PARALELO 42  S.A.,VALLE DEL MEDIO,82098,FRUTICULTURA/HORTICULTURA
PATAGONIA IND. LANAR S.A.C.I.F.I. Y A.,CARIDAD,82098,GANADERIA
PUNTA QUIROGA S.A.,DON FRANCISCO,82098,GANADERIA
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),82098,GANADERIA
ROSA PATAGONICA S.A.,ROSA PATAGONICA,82098,RECOLECCION SILVESTRE
ROSANA N. PORCU,CAMINO VIEJO,82098,FRUTICULTURA
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),82098,GANADERIA
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,82098,GANADERIA
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,82098,GANADERIA
TORRES FEDERICO PATRICIO,LAS TIJERAS,82098,GANADERIA
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),82098,GANADERIA
AGROYATAY S.R.L.,LA MARGARITA,82098,AGRICULTURA
BOTTEGAL JUAN ANGEL Y BOTTEGAL JULIO CESAR S.H.,ZONA DE ISLAS ENTRE RIOS,82098,APICULTURA
CAMAÑO JULIO,SAN ANTONIO,82098,AGRICULTURA
CAMPO MALAMBO S.A.,CAMPO MALAMBO,82098,AGRICULTURA
CAUPOLICAN S.R.L.,LA CATALINA,82098,AGRICULTURA
ECA  SA,LA 83,82098,FRUTICULTURA
ESTANCIA LAGUNA BLANCA S.A.,LAGUNA BLANCA,82098,AGRICULTURA
FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR,FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR,82098,FRUTICULTURA
FIGUEROA BUNGE MARIANO,LA EVANGELINA,82098,AGRICULTURA
FUCHINECO LUIS ALBERTO,ALMA MIA,82098,AGRICULTURA
GRACIA LUZ DON,LA ESMERADA,82098,AGRICULTURA
GUIDOBONO JOSE MARIA,LA URBANA,82098,AGRICULTURA
GUIDOBONO JOSE MARIA,SAN PEDRO,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LA CAROLINA,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,MONTEVERDI,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,MEICHTRY,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LA BLANCA,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,LISFCHITZ,82098,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,EL TAJAMAR,82098,HORTICULTURA
IGFO SA,LA ESPERANZA,82098,FRUTICULTURA
IGFO SA,EL TRIANGULO,82098,FRUTICULTURA
KUMAGRO S.A.,LA UNION,82098,AGRICULTURA
KUMAGRO S.A.,"SANTA MARIA ""B""",82098,AGRICULTURA
LA LOMA ALIMENTOS S.A.,EL TALITA,82098,AGRICULTURA
MAGNO S.A.,LAS ACHURAS,82098,AGRICULTURA
MAGNO S.A.,LOTE PLANTA MANTEROS,82098,AGRICULTURA
NEOFARMS S.R.L. / GUIDOBONO JOSE MARIA / CALERO GUILLERMO,LA EMILIA (EX LA PRIMAVERA),82098,AGRICULTURA
"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD A,82098,AGRICULTURA
"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD B,82098,AGRICULTURA
